PC1,PC2,NP_CCC
-2.131530064,3.620065905,0
-2.034310961,3.531132621,0
-1.951179545,3.575960555,0
-1.8682983,3.549083896,0
14.85706849,2.256028463,0
11.5516261,4.384504175,0
2.119380939,0.057096323,0
2.155899257,-0.86179756,0
13.56305456,1.246484357,0
13.16677016,0.346178017,0
6.127938958,0.919396119,0
3.369322722,1.383380151,0
16.23899195,0.717645265,0
3.006748759,-0.883780336,0
11.30712836,1.71752835,0
3.93331664,0.916934926,0
2.86393694,0.95339757,0
7.621385341,0.46320459,0
9.092678899,0.009969588,0
6.691991828,-0.950980328,0
3.042504647,1.044797654,0
2.468839249,-2.374410194,0
2.484103792,1.288832736,0
0.832264402,0.424754291,0
2.861607501,0.695228752,0
0.945000785,0.511490933,0
3.682374468,1.703390774,0
2.220744073,-0.011956069,0
2.631847531,1.789177105,0
1.893304886,-2.358365418,0
0.100593532,1.07290747,0
0.842075147,0.537887967,0
2.198136457,-0.026487758,0
1.689483071,-0.815674514,0
3.578190621,1.000304167,0
3.975759458,1.153328147,0
5.389784984,0.658154647,0
4.861006246,1.18121751,0
9.49526305,1.656134828,0
9.90505751,0.816854208,0
7.825754594,2.166971127,0
4.509493736,0.975911553,0
0.955130756,-2.041957185,0
1.057933246,-2.612197378,0
0.898898826,-1.235747804,0
1.573009931,2.963407839,0
0.796715785,1.40891241,0
0.617924545,-0.013853627,0
0.715707191,0.461308254,0
2.120952466,1.111864467,0
1.64820495,-1.533914975,0
1.149606809,-0.200422782,0
-0.938314694,1.936238785,0
3.140591906,0.995454548,0
5.283563238,1.02189447,0
5.314220564,1.942812429,0
12.75520325,1.487193299,0
3.631602165,1.968292322,0
2.12886229,-0.786687014,0
12.49816517,-0.320602603,0
4.725334511,0.160760551,0
14.95846758,1.192173115,0
10.55786594,0.222218146,0
2.774692071,0.090827061,0
11.65115313,1.261557608,0
2.378890908,-1.940329722,0
2.286638908,-0.133369302,0
1.965748124,0.059410516,0
2.857576518,-0.778879248,0
4.610389873,-1.519734131,0
2.102821279,1.030659077,0
-0.198690904,-1.221837191,0
6.691991828,-0.950980328,0
0.100593532,1.07290747,0
0.321068873,-0.90747963,0
0.86334164,-4.613134344,0
0.42530044,-5.204146205,0
0.644342198,-4.908950827,0
1.195647556,-4.162901014,0
-0.596866626,-2.76040548,0
1.558201764,-5.282518324,0
1.244281639,-4.039220776,0
1.34989273,-5.621014934,0
1.17891346,-5.262632217,0
1.330141233,-5.947830077,0
0.377084638,-3.236541751,0
0.42530044,-5.204146205,0
0.814520993,-4.693292587,0
0.78035196,-4.749329245,0
0.349874922,-5.366665161,0
0.68980072,-4.898414329,0
0.590436194,-5.061895371,0
0.661494025,-4.215387445,0
0.655503465,-3.959552667,0
0.658277058,-4.083749321,0
0.665230288,-4.355136148,0
0.669404848,-4.503305288,0
0.769802117,-4.388996132,0
0.682303133,-4.182383862,0
0.592367895,-3.973233331,0
0.019649674,-5.839454161,0
0.49974401,-3.760206427,0
-0.187047428,-6.130796625,0
1.178382439,-3.573436428,0
1.018869562,-4.117720277,0
-0.316020451,-4.518362234,0
-1.62254494,-0.719683305,0
-2.038878053,-0.145129767,0
-2.104787989,3.6617019,0
-2.23021369,3.759527821,0
-1.960014066,4.641108427,0
-2.643874328,4.55764485,0
-2.546423027,4.524238749,0
-2.352585155,4.434702292,0
-1.916381953,4.66657113,0
-2.836589364,7.600740291,0
-2.490670218,4.886427472,0
-2.521016833,5.300030702,0
-2.490670218,4.886427472,0
-2.222525469,4.905326199,0
-1.961589559,4.922719187,0
-2.404764499,5.708430222,0
-2.496059392,5.336048559,0
-2.690423414,5.07881304,0
-2.417537762,7.654224224,0
-2.357789247,6.712124709,0
-2.373595123,6.233754175,0
-1.704999611,3.674505812,0
-1.520481786,3.631391222,0
-1.507418828,3.706134022,0
-2.201762292,4.015599198,0
-2.459776841,2.53701375,0
-1.716381655,1.68944282,0
-2.105729587,3.561913447,0
-2.303858748,2.779071382,0
-2.101213529,3.66221909,0
-2.454813424,4.33356779,0
-2.929074686,2.877258079,0
-1.822375217,2.600995023,0
-2.487359436,4.534017889,0
-2.864301726,3.842152438,0
-2.129282193,-2.356220824,0
-2.145586414,-2.384048105,0
-2.16293542,-2.412610705,0
-2.183426769,-2.440943196,0
-2.210220716,-2.471027807,0
-2.176131075,-2.240689195,0
-2.672303517,-2.468456942,0
-2.19264557,-2.268182712,0
-2.210201818,-2.292696537,0
-2.232889681,-2.318232546,0
-2.255637298,-2.347238607,0
-2.572929404,-2.489503306,0
-1.2057879,-2.03950914,0
-1.670272597,-2.263393999,0
-2.25292958,-2.545702933,0
-1.042624817,-1.922643825,0
-1.513546339,-2.146307976,0
-2.209423436,-2.47850286,0
-2.626528505,-2.683533628,0
-1.377938806,-2.077486183,0
-1.834082092,-2.300409257,0
-2.215184474,-2.487107682,0
-2.60728294,-2.682407852,0
-1.101972498,-1.972270584,0
-1.569740948,-2.191790418,0
-2.363094476,-2.570379453,0
-2.237424477,-0.006088946,0
-2.388852563,0.125877813,0
-2.013461402,1.619868818,0
-2.217060386,0.457930466,0
-1.991082881,0.388265245,0
-2.686488177,-2.029778905,0
-2.495125384,-3.243153424,0
-2.361696391,-3.238331429,0
-2.529179203,-3.687328203,0
-2.416595429,-3.756273897,0
-2.294469531,-1.887142804,0
-1.983041136,-1.733949425,0
-2.505784896,-3.370447058,0
-2.323790153,-3.344265696,0
-2.148810128,-1.856206057,0
-1.721457647,-0.200823305,0
-1.055287129,0.848507516,0
-0.78459458,1.505437464,0
-1.55956179,0.245437252,0
-1.282615838,0.756702524,0
-1.538591776,0.347133382,0
-1.537478785,0.285914941,0
-1.596171693,-0.3282512,0
-1.356343423,0.384098664,0
-1.808825037,-0.307507468,0
-0.389222562,1.017138108,0
-1.127321926,-0.234314706,0
-1.609759402,0.616915465,0
-1.569528673,0.405760935,0
-0.721603088,0.61737548,0
-0.634969104,0.869889845,0
-0.668589152,-0.70809156,0
-1.28127441,0.308610872,0
-1.28127441,0.308610872,0
-1.108789761,0.186644812,0
-1.549204735,-0.485223143,0
-1.15913767,-0.037016073,0
-1.345027712,-0.075633423,0
-1.021880068,-0.556012198,0
-1.798529026,1.486295484,0
-2.082301205,0.729260639,0
-0.76928322,0.537166975,0
-1.499485868,0.634020996,0
-0.799857948,0.714561943,0
-2.399223989,-0.835544097,0
-1.851138818,-0.713928331,0
-0.844810245,0.415504591,0
-1.494166643,0.496295844,0
-2.904776097,-1.697843408,0
-0.539142878,0.477844958,0
-2.181069472,1.209704987,0
-0.849279851,1.109802305,0
-1.863303269,0.267820608,0
-1.863303269,0.267820608,0
-2.927581118,0.847803839,0.45
-1.96890396,1.195110611,0.9
3.840007759,-0.199579951,1
-2.491676629,4.130673417,1
-2.499686068,-1.92451565,1
-2.139195239,-1.818792085,1
-2.601327807,-2.641945834,1.037297246
-2.415953897,-2.495745387,1.886500303
-2.101669101,2.880103644,2
-2.468321733,-2.560971202,2.56841318
-2.781976106,4.789256411,2.6
-2.104468495,2.781145741,3
-2.664173196,-2.747407353,3.271436054
-2.644207251,-2.626458984,4.135430036
-2.226486978,-0.268498585,4.7
-2.441483094,-2.525586257,4.907321374
4.917984242,1.835139785,5
-1.884728395,2.199484104,5
-2.320528373,2.987352038,5
-2.68527926,4.6469049,5.1
-0.54611013,2.074091209,8
-2.54172864,-2.461588738,8.277914859
2.225236232,3.514833687,10
-2.083214063,3.023460133,10
-2.934206255,4.628230766,10.2
-2.78044079,-2.714144091,10.65958245
-3.024433884,-1.056002617,12.5
-2.67510987,-2.718822113,12.71038876
-2.374147538,-0.979524086,12.85
-2.594415583,-2.449698313,14.98888368
12.49779114,2.154660067,15
-0.482148084,3.090838045,15
-2.35699184,1.117164168,15
-0.798526223,0.812360742,17
-2.06549722,0.590114307,17.8
-0.132205634,0.804763309,18
-2.756854711,-2.559459575,21.25166183
-2.619589934,-2.480453522,25.45335354
-2.863590263,1.812042476,26.25
-2.86772822,0.819800911,28.5
-2.685677199,3.266127199,30
-3.047802235,0.370814878,31.5
4.224729183,1.368032471,33
-2.973573528,0.542582045,33
-2.809145377,1.002269856,33.25
-2.959226098,0.67125289,36
-2.493704476,1.017843186,36
-2.918127807,-2.797846627,39.24958964
-2.970930687,0.523244991,40.5
-3.299320878,0.987773166,42.75
-3.273956391,1.024108713,45
-3.398386615,1.181425,45
-3.659872645,1.322742717,47.5
-2.383196773,2.470303191,50
-2.590535601,3.419500545,50
-2.936840286,-2.626087423,53.15384367
-3.18905892,-2.708764559,54.35526443
-3.011652092,-2.644380232,56.81878226
-3.066925461,-2.885991184,57.11201147
-3.069797757,2.667194461,60
-3.075716571,2.567632478,60
-2.595624292,3.318012283,60
-3.65779652,0.031287057,60
-1.176327388,-1.72103958,85
