PC1,PC2,PC3,PC4,NP_CCC
-2.131530064,3.620065905,1.821134082,-0.163106591,0
-2.034310961,3.531132621,1.882681669,-0.262237673,0
-1.951179545,3.575960555,1.614257941,-0.279100325,0
-1.8682983,3.549083896,1.586590502,-0.270936492,0
14.85706849,2.256028463,-2.986406616,-0.093817866,0
11.5516261,4.384504175,-1.351590637,-0.45519235,0
2.119380939,0.057096323,1.326223275,-0.704964608,0
2.155899257,-0.86179756,1.586686832,-0.399523556,0
13.56305456,1.246484357,-3.591537749,0.17057532,0
13.16677016,0.346178017,-2.975775589,0.406075861,0
6.127938958,0.919396119,-0.302864677,-0.47904387,0
3.369322722,1.383380151,2.654334897,-1.55796328,0
16.23899195,0.717645265,-1.734731305,-0.754582832,0
3.006748759,-0.883780336,3.033476218,-0.643917414,0
11.30712836,1.71752835,-2.406799984,-0.302184414,0
3.93331664,0.916934926,-0.052215381,-0.578515592,0
2.86393694,0.95339757,-0.865688148,0.189348468,0
7.621385341,0.46320459,0.338929536,-0.623954057,0
9.092678899,0.009969588,-1.129954657,-0.38215635,0
6.691991828,-0.950980328,-0.212464874,-0.912276293,0
3.042504647,1.044797654,-0.102129218,-0.185045035,0
2.468839249,-2.374410194,1.253515057,-0.405568259,0
2.484103792,1.288832736,1.341793734,-1.157233006,0
0.832264402,0.424754291,0.251326845,0.297051715,0
2.861607501,0.695228752,2.583149816,-1.218652342,0
0.945000785,0.511490933,-0.504938081,0.250487678,0
3.682374468,1.703390774,0.892147935,-0.733662414,0
2.220744073,-0.011956069,2.242860323,-1.627139011,0
2.631847531,1.789177105,2.856970715,-1.477857524,0
1.893304886,-2.358365418,0.444434165,0.327230389,0
0.100593532,1.07290747,-0.722869522,0.145066292,0
0.842075147,0.537887967,-0.018484921,-0.248770148,0
2.198136457,-0.026487758,1.292355989,-1.146689217,0
1.689483071,-0.815674514,-0.177565722,-0.096258616,0
3.578190621,1.000304167,-1.149673204,0.213378034,0
3.975759458,1.153328147,-0.308756841,-0.284035854,0
5.389784984,0.658154647,1.058350358,-1.022864297,0
4.861006246,1.18121751,0.726438401,-0.828537404,0
9.49526305,1.656134828,-1.209000376,-0.569372484,0
9.90505751,0.816854208,-2.012303983,0.26496077,0
7.825754594,2.166971127,-0.794111206,-0.418995693,0
4.509493736,0.975911553,0.235982012,-0.676026492,0
0.955130756,-2.041957185,3.618120528,0.120736598,0
1.057933246,-2.612197378,4.101493751,0.385133027,0
0.898898826,-1.235747804,2.773817996,-0.077712879,0
1.573009931,2.963407839,1.015661216,-1.114677497,0
0.796715785,1.40891241,0.025130758,-0.3123575,0
0.617924545,-0.013853627,-0.903589294,0.271465817,0
0.715707191,0.461308254,-0.674123005,0.101206666,0
2.120952466,1.111864467,2.13487104,-1.017599741,0
1.64820495,-1.533914975,2.606390617,-0.469949132,0
1.149606809,-0.200422782,1.257225583,0.749590689,0
-0.938314694,1.936238785,0.83897188,-0.294840963,0
3.140591906,0.995454548,0.637420047,3.659201946,0
5.283563238,1.02189447,-1.481603414,-0.015873097,0
5.314220564,1.942812429,-0.983818896,-0.382028761,0
12.75520325,1.487193299,-2.996414066,-0.137785383,0
3.631602165,1.968292322,-0.573445757,-0.432175448,0
2.12886229,-0.786687014,-1.133514628,0.232676673,0
12.49816517,-0.320602603,-3.974317543,0.977357621,0
4.725334511,0.160760551,2.409893253,-1.5886344,0
14.95846758,1.192173115,-1.192697246,-1.214017943,0
10.55786594,0.222218146,-4.429108475,0.64759679,0
2.774692071,0.090827061,-0.68773364,0.045739835,0
11.65115313,1.261557608,-3.877013882,0.667672223,0
2.378890908,-1.940329722,-1.162633264,0.360221553,0
2.286638908,-0.133369302,-0.336647947,0.290441906,0
1.965748124,0.059410516,-0.874478791,0.413776682,0
2.857576518,-0.778879248,0.255776273,-0.145057429,0
4.610389873,-1.519734131,0.7725853,-0.62522984,0
2.102821279,1.030659077,-0.671658287,0.029817328,0
