PC1,PC2,PC3,PC4,PC5,PC6,NP_CCC
-2.131530064,3.620065905,1.821134082,-0.163106591,1.467698589,-0.28803011,0
-2.034310961,3.531132621,1.882681669,-0.262237673,1.10036214,-0.375604929,0
-1.951179545,3.575960555,1.614257941,-0.279100325,1.218852575,-0.820084632,0
-1.8682983,3.549083896,1.586590502,-0.270936492,1.242942022,-0.469781132,0
14.85706849,2.256028463,-2.986406616,-0.093817866,3.031475509,0.687289295,0
11.5516261,4.384504175,-1.351590637,-0.45519235,3.306625787,0.787137076,0
2.119380939,0.057096323,1.326223275,-0.704964608,-4.039239746,-0.747557645,0
2.155899257,-0.86179756,1.586686832,-0.399523556,-3.275725246,0.714668129,0
13.56305456,1.246484357,-3.591537749,0.17057532,2.458403418,0.47488858,0
13.16677016,0.346178017,-2.975775589,0.406075861,2.979823642,1.774080546,0
6.127938958,0.919396119,-0.302864677,-0.47904387,-0.335784341,0.38044072,0
3.369322722,1.383380151,2.654334897,-1.55796328,-4.161632513,-0.773754749,0
16.23899195,0.717645265,-1.734731305,-0.754582832,0.625982235,0.813205556,0
3.006748759,-0.883780336,3.033476218,-0.643917414,-2.729439063,0.61575243,0
11.30712836,1.71752835,-2.406799984,-0.302184414,1.684619233,0.172505395,0
3.93331664,0.916934926,-0.052215381,-0.578515592,-1.417525492,0.013237679,0
2.86393694,0.95339757,-0.865688148,0.189348468,0.204519043,0.317135482,0
7.621385341,0.46320459,0.338929536,-0.623954057,-0.744980849,0.573684823,0
9.092678899,0.009969588,-1.129954657,-0.38215635,-0.253647322,0.571860558,0
6.691991828,-0.950980328,-0.212464874,-0.912276293,-0.833367028,1.31027049,0
3.042504647,1.044797654,-0.102129218,-0.185045035,-0.246336491,-0.405691302,0
2.468839249,-2.374410194,1.253515057,-0.405568259,-3.383934401,-0.12524412,0
2.484103792,1.288832736,1.341793734,-1.157233006,-3.091945085,-1.494960264,0
0.832264402,0.424754291,0.251326845,0.297051715,-0.97363072,-0.138239804,0
2.861607501,0.695228752,2.583149816,-1.218652342,-3.481983802,-0.713332971,0
0.945000785,0.511490933,-0.504938081,0.250487678,-0.790286103,-0.040897608,0
3.682374468,1.703390774,0.892147935,-0.733662414,-0.921869856,-0.255668445,0
2.220744073,-0.011956069,2.242860323,-1.627139011,-4.283512579,-0.112442521,0
2.631847531,1.789177105,2.856970715,-1.477857524,-3.659814626,-1.351604067,0
1.893304886,-2.358365418,0.444434165,0.327230389,-2.562623595,0.323993544,0
0.100593532,1.07290747,-0.722869522,0.145066292,-1.290453073,-0.591475511,0
0.842075147,0.537887967,-0.018484921,-0.248770148,-2.007596391,-1.556319785,0
2.198136457,-0.026487758,1.292355989,-1.146689217,-2.692312114,0.593584412,0
1.689483071,-0.815674514,-0.177565722,-0.096258616,-1.483202844,0.221705687,0
3.578190621,1.000304167,-1.149673204,0.213378034,0.31948053,-0.045216397,0
3.975759458,1.153328147,-0.308756841,-0.284035854,-0.430103372,-0.72363439,0
5.389784984,0.658154647,1.058350358,-1.022864297,-2.304582294,-0.579681746,0
4.861006246,1.18121751,0.726438401,-0.828537404,-1.786715259,-1.098540555,0
9.49526305,1.656134828,-1.209000376,-0.569372484,0.210906868,-0.493389452,0
9.90505751,0.816854208,-2.012303983,0.26496077,1.795826998,0.71724807,0
7.825754594,2.166971127,-0.794111206,-0.418995693,0.568483838,0.052548454,0
4.509493736,0.975911553,0.235982012,-0.676026492,-1.425542659,-0.321506598,0
0.955130756,-2.041957185,3.618120528,0.120736598,-2.283457363,-1.094123187,0
1.057933246,-2.612197378,4.101493751,0.385133027,-2.22137105,-1.148784467,0
0.898898826,-1.235747804,2.773817996,-0.077712879,-2.953333149,-0.557968704,0
1.573009931,2.963407839,1.015661216,-1.114677497,-1.685576288,-1.119922544,0
0.796715785,1.40891241,0.025130758,-0.3123575,-1.680443064,-1.147749569,0
0.617924545,-0.013853627,-0.903589294,0.271465817,-1.497095145,-1.083710728,0
0.715707191,0.461308254,-0.674123005,0.101206666,-1.091732101,-1.224674377,0
2.120952466,1.111864467,2.13487104,-1.017599741,-3.400358258,-0.871446953,0
1.64820495,-1.533914975,2.606390617,-0.469949132,-4.089225745,-0.925514624,0
1.149606809,-0.200422782,1.257225583,0.749590689,-0.73417839,-1.101532551,0
-0.938314694,1.936238785,0.83897188,-0.294840963,-1.948849429,-1.778509623,0
3.140591906,0.995454548,0.637420047,3.659201946,-1.595098081,-6.860506269,0
5.283563238,1.02189447,-1.481603414,-0.015873097,0.184375984,-0.387485156,0
5.314220564,1.942812429,-0.983818896,-0.382028761,-0.356294355,-1.221751543,0
12.75520325,1.487193299,-2.996414066,-0.137785383,1.968344743,-0.159205636,0
3.631602165,1.968292322,-0.573445757,-0.432175448,-0.777881216,-1.349192523,0
2.12886229,-0.786687014,-1.133514628,0.232676673,-0.855244286,0.159785244,0
12.49816517,-0.320602603,-3.974317543,0.977357621,2.921084863,1.330915186,0
4.725334511,0.160760551,2.409893253,-1.5886344,-3.880928109,-0.283938092,0
14.95846758,1.192173115,-1.192697246,-1.214017943,0.406189097,1.060477326,0
10.55786594,0.222218146,-4.429108475,0.64759679,3.003710749,1.356067262,0
2.774692071,0.090827061,-0.68773364,0.045739835,-1.752330881,-0.893327686,0
